Daniel;9999999999
PickleRick;420
NoobNoob;3
Morty;2
JohnnySins;69
Roberto;125
;1100
;40
;115
;100
;50
;85
;203390
;100
guk;60
;180
;1110
;85
;2095
;1130
;165
;90
;55
;75
;135
;505320
;2125
;110
;40
;55
;1155
;309275
wena;0
lol;0
hero;5
ícleeeeeee;10
;105
;115
;125
;1245
;101255
;1105
;1115
;205465
;205470
Mamotreto;314470
Mamotreto;314475
sfasf;10
;230
;240
;105
;5
;10
;5165
;5175
;106255
;5
;105
;115
;400
;100410
;125
;40
;15
;50
;20
;303265
;303270
;80
;250
;255
;200
;105
;100120
;3170
;3175
;85
;95
;135
;140
;65
;190
;195
;200
;105
;115
;20
Daniel;6250
Daniel;6250
