day	train_id	time	block	seq_nr
1	1	2,525945492	AH	1
1	1	2,525945492	AW	2
1	1	2,525945492	AH	3
1	1	2,525945492	AK	4
1	1	2,525945492	AY	5
1	1	2,525945492	AD	6
1	1	2,525945492	AJ	7
1	1	2,525945492	AD	8
1	1	2,525945492	AJ	9
1	1	2,525945492	AH	10
1	1	2,525945492	AX	11
1	1	2,525945492	AN	12
1	1	2,525945492	AV	13
1	1	2,525945492	AH	14
1	1	2,525945492	AW	15
1	1	2,525945492	AH	16
1	1	2,525945492	AW	17
1	1	2,525945492	AW	18
1	1	2,525945492	AP	19
1	1	2,525945492	AR	20
1	1	2,525945492	AX	21
1	1	2,525945492	AV	22
1	1	2,525945492	AD	23
1	1	2,525945492	AP	24
1	1	2,525945492	AN	25
1	1	2,525945492	AX	26
1	1	2,525945492	AV	27
1	1	2,525945492	AX	28
1	1	2,525945492	BG	29
1	1	2,525945492	AW	30
1	1	2,525945492	AP	31
1	1	2,525945492	AX	32
1	1	2,525945492	AX	33
1	1	2,525945492	AH	34
1	1	2,525945492	AK	35
1	1	2,525945492	AK	36
1	1	2,525945492	AX	37
1	1	2,525945492	BG	38
1	1	2,525945492	AR	39
1	1	2,525945492	AX	40
1	1	2,525945492	BG	41
1	1	2,525945492	AW	42
1	1	2,525945492	AF	43
1	1	2,525945492	AN	44
1	1	2,525945492	AJ	45
1	1	2,525945492	AN	46
1	1	2,525945492	AF	47
1	1	2,525945492	AD	48
1	1	2,525945492	AH	49
1	1	2,525945492	AW	50
1	1	2,525945492	AR	51
1	1	2,525945492	AJ	52
1	1	2,525945492	BG	53
1	1	2,525945492	AX	54
1	1	2,525945492	AX	55
1	1	2,525945492	AF	56
1	1	2,525945492	AH	57
1	1	2,525945492	AH	58
1	1	2,525945492	AV	59
1	1	2,525945492	AN	60
1	1	2,525945492	AK	61
1	1	2,525945492	AY	62
1	1	2,525945492	AW	63
1	1	2,525945492	AP	64
1	1	2,525945492	AK	65
1	1	2,525945492	AJ	66
1	1	2,525945492	AH	67
1	1	2,525945492	AW	68
1	1	2,525945492	AK	69
1	1	2,525945492	AK	70
1	1	2,525945492	AD	71
1	1	2,525945492	AJ	72
1	1	2,525945492	BG	73
1	1	2,525945492	AW	74
1	1	2,525945492	AP	75
1	1	2,525945492	AV	76
1	1	2,525945492	AN	77
1	1	2,525945492	AF	78
1	1	2,525945492	AF	79
1	1	2,525945492	BG	80
1	2	2,634477413	AV	1
1	2	2,634477413	AN	2
1	2	2,634477413	AW	3
1	2	2,634477413	AN	4
1	2	2,634477413	AK	5
1	2	2,634477413	AY	6
1	2	2,634477413	AY	7
1	2	2,634477413	BG	8
1	2	2,634477413	AK	9
1	2	2,634477413	AR	10
1	2	2,634477413	AX	11
1	2	2,634477413	AP	12
1	2	2,634477413	AV	13
1	2	2,634477413	AD	14
1	2	2,634477413	AD	15
1	2	2,634477413	AF	16
1	2	2,634477413	AH	17
1	2	2,634477413	AN	18
1	2	2,634477413	AF	19
1	2	2,634477413	AD	20
1	2	2,634477413	AK	21
1	2	2,634477413	AH	22
1	2	2,634477413	AN	23
1	2	2,634477413	AD	24
1	2	2,634477413	AV	25
1	2	2,634477413	AR	26
1	2	2,634477413	AJ	27
1	2	2,634477413	AK	28
1	2	2,634477413	AH	29
1	2	2,634477413	AX	30
1	2	2,634477413	AN	31
1	2	2,634477413	AY	32
1	2	2,634477413	AW	33
1	2	2,634477413	AP	34
1	2	2,634477413	AH	35
1	2	2,634477413	AK	36
1	2	2,634477413	AW	37
1	2	2,634477413	AP	38
1	2	2,634477413	AD	39
1	2	2,634477413	AY	40
1	2	2,634477413	AP	41
1	2	2,634477413	AR	42
